Source,Source,Source,Source,Source,Ethnic groups availability,Ethnic groups availability,Ethnic groups availability,Ethnic groups availability,Ethnic groups availability,Ethnic groups availability,Ethnic groups availability,Ethnic groups availability,Demographic characteristics availability,Demographic characteristics availability,Demographic characteristics availability,Demographic characteristics availability,Demographic characteristics availability,Demographic characteristics availability,Demographic characteristics availability,Demographic characteristics availability,Demographic characteristics availability,Demographic characteristics availability,Demographic characteristics availability,Demographic characteristics availability,Demographic characteristics availability,Demographic characteristics availability,Intersectional analysis,Intersectional analysis,Intersectional analysis,Intersectional analysis,Employment data,Employment data,Employment data,Employment data,Employment data,Employment data,Employment data,Employment data,Employment data,Employment data,Employment data,Employment data,Employment data,Employment data,Employment data,Employment data,Relevance of data,Relevance of data,Relevance of data,Relevance of data
London ESF Youth Programme 2014-2020 Phase 1 Evaluation,"Jonathan Carmel, Christina Floe, Genevieve Laurier",https://lep.london/sites/default/files/ESF%20London%20Youth%20Programme%20TSIP%20Evaluation%20Report_FINAL.pdf,London area,Report evaluating the first phase of the London European Social Fund (ESF) Youth programme between 2014 and 2020. Looks into the transitions of young Londoners into employment. Data used in this evaluation was collated by the ESFA with additional data coming from a particpant survey and qualitative feedback.,1,Suitable data and sample size for purpose but only distinguishes between BAME and non-BAME as broad groupings,0,Not available,0,Not included,1,"Some targeted groups that face barriers to employment due to factors such as migration/refugee status, single parenthood, etc.",0,Not available,0,"Nothing explicit, generally all targeted groups are assumed to be from lower socioeconomic background",1,"Breakdowns of employment outcomes for targeted groups with learning disabilities (LDD), mental health problems, etc. ",0,Not included,0,Analysis of London area only,2,Results are decomposed into 4 major regions within London,1,Some targeted groups of younger individuals (16-18),0,Not included,0,Not included,3,The main focus of the report is on the transition from being NEET to EET,0,Not available,0,Not available,0,Not included,2,Included in breakdowns of transition to EETs,0,Not included,2,Breakdown of transition from NEET to EET for BAME only (no individual ethnic groups),0,Not included,3,"Includes data and anlysis for many vulnerable groups in society (BAME, LDD, Mental Health, Migrants, Care Leavers, Drug/alcohol abuse issues)",2,Data was collated from the ESFA between 2016-18 with additional data from a participant survey and qualitative feedback. Time period suitable for the aims of the report.
Facing the future: Employment prospects for young people after Coronavirus,L&W,https://learningandwork.org.uk/resources/research-and-reports/facing-the-future-employment-prospects-for-young-people-after-coronavirus/,UK,"L&W report on the focussing on the employment prospects for young people after the Coronavirus pandemic. Uses ONS data combined with online surveys of employers and employees, as well as some focus groups.",3,"Includes suitable data and sample size for broad (inclusive) groupings of Asian, Black, Mixed, Other, White present in some analysis",0,Not available,0,Not included,0,Not included,1,Gender breakdowns for some analysis in the report e.g. analysis on the hours worked by young workers,1,Some discussion on the outcomes of different socioeconomic groups. Housing tenure also included as a proxy for socioeconomic background.,2,Disability present in some analysis plus discussion of mental health problems,0,Not included,0,"Relatively detailed discussion of regional differences in outcomes (North West, yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West, Scotland). Does not include analysis of regional data by ethnic groups",0,Not included,0,"Results incorporate up to 3 age groups, but the youngest age group 16-24 is not decomposed further",0,Intersectional analysis present but not inclusive of ethnicity,0,Not included,3,Employment status of young people central to the analysis,3,Detailed sectoral analysis present in much of the analysis (Public/Public sector and main industry groups),2,Analysis of different occupational groups is present in the report,1,Some discussion of those employed on a part-time or self-employed basis is included,0,Policy discussion with respect to apprenticeships features in the appendix but not in the main report,1,Wages/income feature in employer/employee surveys. Wage policy discussion is included in the appendix,0,Qualitative analysis only - Questions relating to concerns over career progression present in surveys,0,Not included,0,Not available,3,Uses Labour Force Survey data which with a timeframe that covers a suitable time period ranging before and into the pandemic period (1994-2020).
Destinations of students after 16 to 18 study,UK Government,https://www.ethnicity-facts-figures.service.gov.uk/education-skills-and-training/after-education/destinations-of-students-after-key-stage-5-usually-aged-18-years/latest,England,Part of the UK Government 'Ethnicity Facts and Figures' website. Follows ethnic minority students who completed KS4 in the 2016/17 academic year and measures their outcomes in the 2017/18 academic year. Data is taken from the National Pupil Database (NPD) to calculate education destinations. Other data sources from Individualised Learner Record (ILR) and the Higher Education Statistics Agency (HESA) are used to calculate sustained participation in learning.,3,"Includes suitable data and sample size for broad inclusive groupings for Asian, Black, Mixed, Other, and  White. Chinese is also included as a separate broad grouping. ",3,"Contains suitable data and sample size for the major White (White British, White Irish, Gypsy/Roma, Irish Traveller, White other), Black (Black African, Black Caribbean), Asian (Bangladeshi, Indian, Pakistani, Asian other), Chinese, Mixed (Mixed White/Asian, Mixed White/Black African, Mixed White/Black Caribbean, Mixed other), and other ethnic groups.",0,Not included,0,Not included,0,Gender is present in the source data but breakdowns are not available,0,Not included,0,Not included,0,Not included,0,Geographic region is present in the source data but no breakdowns are available in the report,0,Geographic subregion is present in the source data but no breakdowns are available in the report,0,Not included,0,Not available,0,Not included,2,Includes data on the percentage of school leavers entering employment,0,Not available,0,Not available,0,Not included,2,Includes data on percentage of school leavers (16-18) starting apprenticeships,0,Not included,0,Not included,0,Not included,0,Not available,1,The DfE data only covers students who completed KS4 in the 2016/2017 academic year.
Social origins and social mobility: the educational and labour market outcomes of the children of immigrants in the UK,Carolina Zuccotti and Lucinda Platt,CDP_13_21.pdf (cream-migration.org),England and Wales,Discussion paper that studies the interaction between social origins and the educational and labour market outcomes of second generation immigratns in the UK. Uses ONS Longitudinal Study for England and Wales which spans across five consecutive censuses between 1971 and 2011.,1,"Includes suitable data about the broad grouping for the white ethnic group. Does not include black, but this is only partially covered by individual groups (Carribean). Asian is not included and is only partially covered by individual groups (Indian, Pakistani, Bangladeshi). Mixed and other groups are not covered.",1,"Contains suitable groups with sufficient sample size for significance testing. However, only available for select Asian and black groups (Indian, Pakistani, Bangladeshi, Caribbean).",0,Not included,0,Not included,3,"Gender breakdown included for all ethnic groups in the study (White, Bangladeshi, Indian, Pakistani,  Caribbean)",1,"Breakdowns for educational outcomes by parental social class are included in the report. Models 2 and 3 also includes proxies for socieconomic status as control variables e.g. number of cars, number of persons per room and neighbourhood deprivation when growing up",0,Not included,0,Not included,0,Not included,0,Not included,0,Not included,3,"Labour market outcomes are broken down by ethnic group and gender. Gender breakdowns are available for each ethnic group included in the study (White, Indian, Pakistani, Bangladeshi, Carribean)",0,Not included,2,Includes employment as a dependent variable,0,Not available,0,Not included,0,Not included,0,Not included,0,Not included,0,Not included,0,Not included,2,"Some cultural data such as family unit type, tenure, number of persons per room, included as control variables",2,The ONS Longitdunal Study is a linked dataset sampled from 5 successive censuses (1971 to 2011)
The returns to undergraduate degrees by socio-economic group and ethnicity ,Institute for Fiscal Studies,The returns to undergraduate degrees by socio-economic group and ethnicity (ifs.org.uk),England,"DfE commisioned report that analyses the outcomes of undergraduate education for different socio-economic groups and ethnic minority groupus. Uses the Department for Education’s Longitudinal Education Outcomes (LEO) which links school, university, and tax record for everyone who has taken GCSEs in England since 2002.",2,"Includes suitable data about 2 broad groupings (White and Other). Asian and Black groups are not included but are covered by individual groups (Bangladeshi, Indian, Pakistani, Chinese, other Asian, Black African, Black Caribbean, Black Other). Mixed groups are not included",2,"Contains suitable data and sample size for the major White (White British, White Other), Black (Black Caribbean, Black African, Black Other), Asian ethnic groups (Indian, Pakistani, Bangladeshi, Chinese), and is largely inclusive of others not fitting any of those categories",0,Not included,0,Not included,3,"Gender breakdown included for most ethnic groups in the study (White, Bangladeshi, Indian, Pakistani, Black Caribbean, Black African, Other)",3,Significant portion of analysis decomposed by socioeconomic background (SES groups),0,Not included,0,Not included,1,Some analysis decomposed by region. Region is also included as a control variable in all of the models.,0,Not included,0,Not included,3,"Labour market outcomes (earnings) are broken down by ethnic group and gender. Gender breakdowns are available for each ethnic group included in the study (White, Indian, Pakistani, Bangladeshi, Carribean)",3,Three way analysis of the earnings gaps for ethnic minority groups by higher educational attainment by gender. Also includes three way analysis of the lifetime earnings for ethnic minority groups by higher edicational attainment by  gender,2,Breakdowns for employed,0,Not available,2,Occupational status (professional/managerial level) is included in the model as a dependent variable,0,Not included,0,Not included,3,"Breakdowns of median earnings, earnings gaps, and predicted lifetime earnings for the majority of ethnic groups included in the study (Pakistani, Bangladeshi, Black Caribbbean, White British, Other, White Other, Black African, Indian)",1,Includes analysis of predicted lifetime earnings and gross returns,0,Not included,1,Some cultural insights such as most common university subject chosen by ethnicity,1,Uses the Longitudinal Educational Outcomes (LEO) dataset which measures records for everyone who took GCSE's in England since 2002. This report focusses on those who took their GCSE examinations in England between 2002-2007 only
An Unequal Crisis: The impact of the pandemic on the youth labour market,Tony Wilson and Dafni Papoutsaki,An-Unequal-Crisis_The-impact-of-the-pandemic-on-the-youth-labour-market.pdf (bollettinoadapt.it),UK,"Joint report by IES, YFF, and the Blagrave Trust that anlyses the impact of the pandemic on youth labour markets. Uses data from the Quarterly LFS covering the first lockdown period (April and June 2020) and its easing (July to September 2020)",2,"Includes suitable data and sample size for most broad inclusive groupings (White, Black, Asian, Other) Chinese is included as a separate broad grouping while mixed is excluded altogether. ",0,Not available,0,Not included,0,Not included,1,Some discussion on the impact of employment status by gender in the report. No breakdowns are available by gender by ethniccity,0,Not available,0,Not included,0,Not included,0,"Breakdowns of youth employment rates by different regions in the UK. However, no breakdowns by ethnic group",0,Not included,2,Different age groupings within young people are included (16-17's and 18-24's),0,Intersectional analysis present but not inclusive of ethnicity,0,Not included,2,"Detailed employment status data (Employed, Unemployed, Inactive), some focused on different ethnic groups (White, Black, Asian, Chinese, and Other) ",1,Sectoral data present but not focused on ethnic minorities,1,Occupational data present but not focused on ethnic minorities,1,Hours worked is present but discussion is not focussed on ethnic minorities,0,Not included,0,Not included,0,Not included,0,Not included,0,Not available,1,Uses a portion of the Labour Force Survey (Quarterly LFS) relevant only to the first year of coronavirus pandemic (2020)
Apprenticeships and traineeships,UK Government,https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships,England,Part of the UK Government's explore education statistics website. Presents apprenticeship participation figures from the academic year 2016/17 to quarter 1 of the 2021/22 academic year. Latest data in this release is based on the fourth Individualised Learner Record (ILR) data return from further education and apprentice providers for the 2021/22 academic year. A February 2022 update to this release also includes experimental statistics on course registrations and completions. Does not include regressional models.,3,"Includes suitable data and sample size for all broad groupings (White, Asian/Asian British, Black/African/Caribbean/Black british, Mixed/ Multiple Ethnic Group, Other Ethnic Group)",3,"Contains suitable data and sample size for the major White, Black, Asian, Mixed, and Other groups. Includes groupings for all 18 ethnicity groupings recommended by the ONS. Limited sample size for some of the smaller ethnic groups.",0,Not included,0,Not available,3,"Gender breakdowns of learner characteristics (starts, achievement, and participation) are available for each ethnic group",1,Deprivation data is included but breakdowns by ethnic group are unavailable,2,Learning difficulties or disabilities (LLDD) are included with breakdowns for different ethnic groups available,0,Not included,3,Region is included and breakdowns by different ethnic groups are available,3,Subregion data (local authority districts) is included and breakdowns by ethnic groups are available,2,"Breakdowns by different age groups (Under 19, 19-24, 25 and over)",3,Breakdowns for apprenticeship achievement rates for different ethnic groups by variables including gender and disability,0,Not included,0,Not available,2,Includes detailed sectoral subject breakdown of apprenticeships by binary ethnicity,0,Not available,0,Not available,3,The analysis is mainly focussed on apprenticeship participation,0,Not included,0,Not included,0,Not included,0,Not available,3,ILR data from the years 2016/17 to the latest data from the first quarter of the 2021/22 years is available.
Against the odds? Educational attainment and labour market position of the second generation minority ethnic members in the UK,Yaojun Li,Microsoft Word - Against the odds_Tables and Figures (manchester.ac.uk),UK,"Academic report with a focus on labour market outcomes for second-generation ethnic minority groups in the UK. Draws data from the first 3 waves of the UKHLS dataset which includes a sample size of 35,744 (with 3,678 second-generation ethnic minority respondents).",2,"Includes suitable data about 2 broad groupings (White and Other). Asian and Black groups are not included but are covered by individual groups (Bangladeshi, Indian, Pakistani, Chinese, Black African, Black Caribbean). Mixed groups are not included",2,"Contains suitable data and sample size for the major White, Black (Black African and Black Caribbean), and Asian (Bangladeshi, Indian, Pakistani, Chinese) ethnic groups, and is mostly inclusive of others not fitting any of those categories",0,Not available,1,Analysis focussed on second-generation ethnic minorities,3,"Gender breakdown included for all ethnic groups in the study (White, Bangladeshi, Indian, Pakistani, Black African, Black Caribbean, Chinese, Other)",1,"No breakdowns by employment outcomes but educational attainment is decomposed by parental socioeconomic status, which is also used as a control variable for some analysis",0,Not included,0,Not included,0,Not included,0,Not included,3,"Significant portion of analysis decomposed by age, inclusive of young people",3,"Significant portion of analysis features intersectional analysis via gender or socioeconomic status for different ethnic groups (White, Black African, Black Caribbean, Bangladeshi, Indian, Pakistani, and Chinese)",0,Not included,2,Employment and unemployment data is available,0,Not available,1,Includes some analysis by occupation (% in work who are in managerial/professional positions),0,Not available,0,Not included,3,"Monthly earnings, income and poverty rates featured - breakdowns by ethnic groups included",0,Not included,0,Not included,1,Includes parent and individual socioeconomic status/background,2,Uses up to 5 waves (1-6) of UKHLS data between the years 2009 and 2015
When education isn't enough: Labour market outcomes of ethnic minority graduates at elite universities,"Lessard-Phillips, Swain, Pampaka, & Nwabuzo",FULL_TEXT.PDF (manchester.ac.uk),UK,"Report highlighting the labour market outcomes of ethnic minority graduates from Russel Group universities across three academic years (2009/10 - 2011/12) using the DLHE dataset. The sample focusses on graduates who started their degree aged 21 and under, and are not distance learners. The sample size for analysis is 148,220, comprised of approximately 13% ethnic minority respondents",2,"Includes suitable data about 2 broad groupings (White and Other). Asian and Black groups are not included but are covered by individual groups (Bangladeshi, Indian, Pakistani, Chinese, other Asian, Black African, Black Caribbean). Mixed groups are not included",2,"Contains suitable data and sample size for the major White, Black (Black African and Black Caribbean), and Asian (Bangladeshi, Indian, Pakistani, Chinese, other Asian) ethnic groups, and is mostly inclusive of others not fitting any of those categories",0,Not available,0,Not available,3,"Gender breakdown included for all ethnic groups in the study (White, Bangladeshi, Indian, Pakistani, Black African, Black Caribbean, Chinese, Other, Other Asian)",0,Not included,0,Not included,0,Not included,0,Not Included,0,Not included,0,Not Included,3,"Economic outcomes are broken down by ethnic group and gender. Gender breakdows are available for each ethnic group included in the study (White, Bangladeshi, Indian, Pakistani, Black African, Black Caribbean, Chinese, Other, Other Asian)",0,Not included,3,"Provides data on economic activity (employed in a professional job, employed in a non-professional job, or unemployed)",0,Not included,0,Not included,0,Not included,0,Not included,3,"Breakdown is provided for the mean level of earnings for each ethnic group (White, Bangladeshi, Indian, Pakistani, Black African, Black Caribbean, Chinese, Other, Other Asian)",0,Not included,0,Not Included,0,Not included,1,DLHE dataset only covers a specific time period (Those who graduated between 2009/2010 and 2011/12)
"Ethnicity, Gender and Household Effects on Becoming NEET: An Intersectional Analysis","Lessard-Phillips, Boliver, Pampaka, Swain","Ethnicity, Gender and Household Effects on Becoming NEET: An Intersectional Analysis (sagepub.com)",UK,"Report analysing the interaction between ethnicity, gender , and parental household's employment status and how they affect the probability of a youth becoming NEET. The study uses wave 1 and waves 2 to 5 of the UKHLS dataset  with a sample size of around 50,000. ",1,"Includes suitable data about the broad grouping for the white ethnic group. Does not include black, but this is covered by individual groups (Carribean and African). Asian is not included and is only partially covered by individual groups (Indian, Pakistani, Bangladeshi). Mixed and other groups are not covered.",1,"Contains suitable groups with sufficient sample size for significance testing. However, only available for select Asian and black groups (Indian, Pakistani, Bangladeshi, Black Carribean, Black African).",0,Not included,0,Not included,3,"Gender breakdown included for all ethnic groups in the study (White, Indian, Pakistani, Bangladeshi, Black African, Black Caribbean)",1,"Not included in report, although controlled for in regression analyses (ISEI index which measures the occupational status of the respondent's parents)",0,Not included,0,Not included,0,Not included,0,Not included,0,Not included,3,"Economic outcomes are broken down by ethnic group and gender. Gender breakdows are available for each ethnic group included in the study (White, Indian, Pakistani, Bangladeshi, Black African, Black Caribbean)",0,Not included,2,Includes data on the NEET rate. Does not include data on the employment rate or training. ,0,Not included,0,Not included,0,Not included,0,Not included,0,Not included,0,Not included,0,Not included,2,"Includes information on parent employment status, number of parents in a household, and neighbourhood unemployment levels",1,UKHLS Longitudinal dataset covering only wave 1 (years 2009 to 2010)
Exploring ethnic differences in the post-university destinations of Russell Group graduates.,"Lessard-Phillips, Boliver, Pampaka, Swain",23883.pdf (dur.ac.uk),UK,"Report analysing the differences in the post-university outcomes of ethnic minority Russel Group graduates. Data in this analysis comes throm the Destination of Leavers from Higher Education (DLHE) survey with the sample restricted to those who enrolled at a Russel Group university at the age of 21 and under and who graduated between 2009/2010 and 2012/13. There were a total of 198,430 total valid respondents in the sample. The report also considers the relationships between ethnicity and social backgrounds.",2,"Includes suitable data about 2 broad groupings (White and Other). Asian and Black groups are not included but are covered by individual groups (Bangladeshi, Indian, Pakistani, Chinese, other Asian, Black African, Black Caribbean). Mixed groups are not included",2,"Contains suitable data and sample size for the major White, Black (Black African and Black Caribbean), and Asian (Bangladeshi, Indian, Pakistani, Chinese, other Asian) ethnic groups, and is mostly inclusive of others not fitting any of those categories",0,Not included,0,Not included,3,"Gender breakdown included for all ethnic groups in the study (White, Bangladeshi, Indian, Pakistani, Black African, Black Caribbean, Chinese, Other, Other Asian)",1,Parental socio-economic background is included as a control variable but there is limited discussion on this in the report. ,0,Not included,0,Not included,0,Not included,0,Not included,0,Not included,3,"Economic outcomes are broken down by ethnic group and gender. Gender breakdows are available for each ethnic group included in the study (White, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black African, Black Caribbean, Other)",0,Not included,3,"Detailed employment status provided with breakdowns for all available ethnic groups (White, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black African, Black Caribbean, Other)",0,Not included,0,Not included,0,Not included,0,Not included,0,Not included,0,Not included,0,Not included,1,Includes information on social background,1,DLHE dataset only covers a specific time period (Those who graduated between 2009/2010 and 2011/12)
The impact of youth labour market experiences on later employment opportunities: what roles do ethnicity and gender play?,"Zucotti, O'Reilly",__smbhome.uscs.susx.ac.uk_tjk30_Documents___smbhome.uscs.susx.ac.uk_tb263_Desktop_HUMAN RELATIONS_maintext_FINAL100218.pdf (sussex.ac.uk),England and Wales,"Report examining the relationship between the early labour market experiences of second-generation ethnic minority groups and how they influence later employment outcomes. Data taken from the ONS-longitudinal Study which follows the labour market statuses of young people (aged 16-29 in 2001) over a ten year period (aged 26-39 in 2011). Sample size of 77,180",1,"Includes suitable data about the broad grouping for the white ethnic group. Does not include black, but this is only partially covered by individual groups (Carribean). Asian is not included and is only partially covered by individual groups (Indian, Pakistani, Bangladeshi). Mixed and other groups are not covered.",1,"Contains suitable groups with sufficient sample size for significance testing. However, only available for select Asian and black groups (Indian, Pakistani, Bangladeshi, Carribean).",0,Not included,1,Analysis focussed on second-generation ethnic minorities,3,"Gender breakdown included for all ethnic groups in the study (White, Bangladeshi, Indian, Pakistani,  Caribbean)",1,Parental socio-economic background is included as a control variable but there is limited discussion on this in the report. ,0,Not included,0,Not included,0,Not included,0,Not included,0,Not included,3,"Economic outcomes are broken down by ethnic group and gender. Gender breakdows are available for each ethnic group included in the study (White, Indian, Pakistani, Bangladeshi, Carribean)",0,Not included,2,"Provides data on economic activity (employed in a professional job, employed in a non-professional job, or unemployed). However, results focus on comparing their employment outcomes in 2011 to their economic status (NEET or in education) in 2001.",0,Not included,0,Not included,0,Not included,0,Not included,0,Not included,0,Not included,0,Not included,2,Includes neighbourhood controls such as levels of overcrowding and neighbourhood deprivation. ,2,ONS Longitudinal Study dataset covers young people aged 16-29 in 2001 and follows their employment outcomes for 10 years until 2011. 
Higher education outcomes: How career satisfaction among graduates varies by ethnicity,"Bermingham, Nathwani, Van Essen-Fishman",Career-satisfaction-by-ethnicity-20200922.pdf (hesa.ac.uk),UK,Report analysing how ethnicity affects levels of career satisfaction. Data is taken from the final two LDLHE collections (comprising of those who graduated in either 2010/11 or 2012/13) linked with DLHE and the HESA student record.,2,"Includes suitable data about 2 broad groupings (White and Other). Asian and Black groups are not included but are covered by individual groups (Bangladeshi, Indian, Pakistani, Chinese, other Asian, Black African, Black Caribbean). Mixed groups are not included",2,"Contains suitable data and sample size for the major White, Black (Black African and Black Caribbean), and Asian (Bangladeshi, Indian, Pakistani, Chinese, other Asian) ethnic groups, and is mostly inclusive of others not fitting any of those categories",0,Not included,0,Not included,3,"Gender breakdown included for all ethnic groups in the study (White, Bangladeshi, Indian, Pakistani, Black African, Black Caribbean, Chinese, Other, Other Asian)",1,"Includes a proxy for socioeconomic status  (Index of Multiple Deprivation) in the regression model. However, there is limited discussion in the report.",1,A measure of disability is included as a control in some of the regression models but no discussion is included in the report,0,Not included,1,A measure of region of domicile and region of employment is included as a control in some of the regression models but no discussion is included in the report. Based on the different regions of UK.,0,Not included,0,Not included,1,"Not available. Although some demographic characteristics controlled for in regression analyses (groupings of variables include: personal characteristics, study characteristics, class of degree, DLHE activity, LDHLE activity/employment, unemployment experience, higher education experience) .",0,Not included,1,"Economic activity is included as a control variable for explaining career satisfaction in some of the regression models. However, limited discussion is made in the report",1,"The sector of employment is included as a control variable for explaining career satisfaction in some of the regression models. However, limited discussion is made in the report",0,Not included,0,Not included,0,Not included,1,"Earnings included as a control variable for explaining career satisfaction in some of the regression models. However, limited discussion is made in the report",0,Not included,0,Not included,3,"Includes a range of relevent variables including family backrground, region, qualification type, and career preparation",2,The pooled dataset (LDLHE-HESA-DLHE) covers 10 cohorts between the academic year 2002/03 to 2012/13. 
"Empirical research on Youth Transitions to, and within the labour market",Institute for Employment Studies,"Empirical research on Youth Transitions to, and within the labour market: findings of descriptive and econometric analyses (publishing.service.gov.uk)",UK,"Report commisioned by the Department for Business Innovation & Skills with the aim of researching how young people transition into employment. Includes four differnet studies using Labour Force Survey (LFS) data, European Labour Force Survey (EU:LFS) data, various cohort studies (Including National Child Development Study [NCDS], British Cohort Study [BCS], Youth Cohort Study [YCS], Longitudinal Study of Young People in England [LSYPE]), and a merger of National Pupil Data (NPD) of National Client Casework Information System (NCCIS).",2,"Includes suitable data about 3 broad groupings (white, mixed, other), with sufficient sample size for significance testing. Asian and Black groups are not included, and only partially covered by separate ethnic groups (Indian, Pakistani, Bangladeshis, Black Caribbean, Black African).",1,"Contains suitable groups with sufficient sample size for significance testing. However, only available for select Asian and black groups (Indian, Pakistani, Bangladeshi, Black Carribean, Black African).",0,Not included,0,Not included,1,Gender is included in all models as a control variable but there is no individual breakdown for each ethnicity group,1,Study uses cohort studies datasets include variables for parental socio-economic background (e.g. number of parents in household and educational attainments of parents. Results are not explained in the report.,0,Not included,0,Not included,0,"Data on different regions in the UK (West Midlands, North East, North West, Yorkshire and the Humber, South West, South East, East of England, East Midlands) are included in the fourth model with discussion on the effects of region on leaving education in the report.  Does not include regional breakdowns for ethnic groups",0,Not included,0,Not included,3,"Breakdowns of likelihoods of different transitions (Education to employment, Education to NEET, Training to NEET, and Training to Employment) by a range of different variables (including ehtnic group and gender)",0,Not included,3,"Employment status breakdowns (whether in education, employment, training, NEET) for labour market transitions. ",0,Not included,0,Not included,0,Not included,0,Not included,0,Not included,3,Significant portion of the report dedicated to explaining different labour market status transitions,0,Not included,0,Not included,2,"Includes four different datasets including Labour Force Survey (LFS) data, European Labour Force Survey (EU:LFS) data, various cohort studies (Including National Child Development Study [NCDS], British Cohort Study [BCS], Youth Cohort Study [YCS], Longitudinal Study of Young People in England [LSYPE]), and a merger of National Pupil Data (NPD) of National Client Casework Information System (NCCIS). The NPD/NCCIS merged dataset contained information for the cohort born between 1993/94."
Do scarring effects vary by ethnicity and gender?,"Zucotti, O'Reilly",Do scarring effects vary by ethnicity and gender? - Oxford Scholarship (universitypressscholarship.com),England and Wales,Report examining the relationship between the early labour market experiences of second-generation ethnic minority groups and how they influence later employment outcomes. Data taken from the ONS-longitudinal Study which follows the labour market statuses of young people (aged 16-29 in 2001) over a ten year period (aged 26-39 in 2011). ,1,"Includes suitable data about the broad grouping for the white ethnic group. Does not include black, but this is only partially covered by individual groups (Carribean). Asian is not included and is only partially covered by individual groups (Indian, Pakistani, Bangladeshi). Mixed and other groups are not covered.",1,"Contains suitable groups with sufficient sample size for significance testing. However, only available for select Asian and black groups (Indian, Pakistani, Bangladeshi, Carribean).",0,Not included,1,Analysis focussed on second-generation ethnic minorities,3,"Gender breakdown included for all ethnic groups in the study (White, Bangladeshi, Indian, Pakistani,  Caribbean)",1,Socioeconomic status controls such as parental social class and family type are included in the regression models. No discussion on these controls are made in the report.,0,Not included,0,Not included,0,Not included,0,Not included,0,Not included,3,"Economic outcomes are broken down by ethnic group and gender. Gender breakdows are available for each ethnic group included in the study (White, Indian, Pakistani, Bangladeshi, Carribean)",0,Not included,2,"Provides data on economic activity (employed in a professional job, employed in a non-professional job, or unemployed). However, results focus on comparing their employment outcomes in 2011 to their economic status (NEET or in education) in 2001.",0,Not included,0,Not included,0,Not included,0,Not included,0,Not included,0,Not included,0,Not included,2,Includes neighbourhood controls such as levels of overcrowding and neighbourhood deprivation. ,2,Dataset (ONS Longitudinal Study) covers young people aged 16-29 in 2001 and follows their employment outcomes for 10 years until 2011. 
Underemployment in the uk revisited,"Bell, Blanchflower",Underemployment in the UK Revisited (sagepub.com),UK,Academic paper analysing underemployment amongst the young in the UK,3,"Includes suitable data and sample size for all the broad census groupings of Asian, Black, Mixed, Other and White (no exclusions). Chinese Is also used as an additional group",0,Only ethnic group included in the analysis is Chinese which is treated as a broader grouping in this report,0,Not included,0,Not included,1,Gender is included in all models as a control variable but there is no individual breakdown for each ethnicity group,0,Not included,1,Disability (DDA disabled or work limitng disabled) is included as a control variable in the model,0,Not included,1,UK regions are present as control variables in the models.,0,Not included,2,"Several age groupings for young people (16-17, 18-24, 25-29)",1,"Not available. Although some demographic characteristics controlled for in regression analyses (groupings of variables include: region, sector, disability).",0,Not included,2,All respondents in the data are employed,1,List of industrial sectors are included as an control variable in the model with limtied discussion,1,Occupation is included as a control variable. Limited discussion in the report,3,"Distinctions between part time, full-time, and temporary work",0,Not included,0,Not included,0,Not included,0,Not included,0,Not included,1,Data taken from Labour Force Surveys spanning the years 2008 to 2012.
"Post 16 education and labour market activities, pathways and outcomes (LEO)",Department for Education,"Post 16 education and labour market activities, pathways and outcomes (LEO) (publishing.service.gov.uk)",UK,Department for Education research report on labour market outcomes after Post 16 education. Uses the Longitudinal Education Outcomes (LEO) dataset that follows the outcomes of young people that took their GCSE exams between 2002 and 2007.,2,"Includes suitable data about the broad grouping for White, Asian, Black and Mixed groups. Chinese is included as a separate broad grouping while Other is excluded altogether",1,"Contains suitable groups with sufficient sample size for significance testing. However, only available for select Asian and black groups (Indian, Pakistani, Bangladeshi, Black Carribean, Black African).",0,Not included,0,Not included,1,Gender is included but there is no individual breakdown for each ethnicity group,1,Free school meals availability to children from low-income families is included as a proxy for socioeconomic status.,1,SEN status is included,0,Not included,3,UK regions are present in the analysis. ,0,Not included,0,Not included,3,Breakdowns of labour market outcomes by education level for different minority ethnic groups at the age of 30/31,0,Not included,2,Distinguishes between those in employment and those out of work and claiming benefits - compares the likelihood of employment/unemployment,0,Not included,0,Not included,0,Not included,1,Some discussion on moving from GCSE to apprenticeships,3,Breakdowns of average earnings for different ethnic groups (at age 30/31),3,"Breakdowns of pathways (employment, unemployment, training, further education) taken after completing GCSEs",0,Not included,3,"Includes additional information such as socioeconomic background, type of school attended, and first language",2,The LEO dataset covers KS4 cohorts between 2001/02 to 2006/07 for a maximum of 15 years
